pair_id,jd_id,cv_id,source_split,1_fit_label_0_to_3,2_fit_label_0_to_3,3_fit_label_0_to_3,overall,split,relevant
jd_001__cv_018,jd_001,cv_018,development,2,3,2,2,development,True
jd_001__cv_020,jd_001,cv_020,development,3,2,3,3,development,True
jd_001__cv_024,jd_001,cv_024,development,3,2,3,3,development,True
jd_001__cv_029,jd_001,cv_029,development,2,2,2,2,development,True
jd_001__cv_032,jd_001,cv_032,development,1,2,2,2,development,True
jd_001__cv_034,jd_001,cv_034,blind_test,2,1,2,2,blind_v1,True
jd_001__cv_003,jd_001,cv_003,development,0,1,2,1,development,False
jd_001__cv_005,jd_001,cv_005,development,0,0,1,0,development,False
jd_001__cv_010,jd_001,cv_010,development,1,1,2,1,development,False
jd_001__cv_017,jd_001,cv_017,blind_test,0,1,1,1,blind_v1,False
jd_001__cv_002,jd_001,cv_002,development,0,0,1,0,development,False
jd_001__cv_004,jd_001,cv_004,development,1,0,1,1,development,False
jd_001__cv_013,jd_001,cv_013,development,1,0,1,1,development,False
jd_001__cv_014,jd_001,cv_014,development,0,0,1,0,development,False
jd_001__cv_021,jd_001,cv_021,blind_test,0,0,1,0,blind_v1,False
jd_001__cv_023,jd_001,cv_023,development,0,0,1,0,development,False
jd_001__cv_028,jd_001,cv_028,blind_test,0,0,1,0,blind_v1,False
jd_001__cv_033,jd_001,cv_033,blind_test,0,0,1,0,blind_v1,False
jd_001__cv_001,jd_001,cv_001,development,0,0,0,0,development,False
jd_001__cv_006,jd_001,cv_006,development,0,0,0,0,development,False
jd_001__cv_007,jd_001,cv_007,development,0,0,0,0,development,False
jd_001__cv_009,jd_001,cv_009,blind_test,1,0,0,0,blind_v1,False
jd_001__cv_012,jd_001,cv_012,development,0,0,1,0,development,False
jd_001__cv_025,jd_001,cv_025,development,0,0,0,0,development,False
jd_001__cv_008,jd_001,cv_008,blind_v2,0,0,1,0,blind_v2,False
jd_001__cv_011,jd_001,cv_011,blind_v2,0,0,1,0,blind_v2,False
jd_001__cv_015,jd_001,cv_015,blind_v2,2,2,3,2,blind_v2,True
jd_001__cv_016,jd_001,cv_016,blind_v2,0,0,1,0,blind_v2,False
jd_001__cv_019,jd_001,cv_019,blind_v2,0,1,1,1,blind_v2,False
jd_001__cv_022,jd_001,cv_022,blind_v2,0,0,1,0,blind_v2,False
jd_001__cv_026,jd_001,cv_026,blind_v2,0,0,1,0,blind_v2,False
jd_001__cv_027,jd_001,cv_027,blind_v2,0,0,1,0,blind_v2,False
jd_001__cv_030,jd_001,cv_030,blind_v2,0,0,0,0,blind_v2,False
jd_001__cv_031,jd_001,cv_031,blind_v2,0,1,1,1,blind_v2,False
jd_001__cv_035,jd_001,cv_035,blind_v2,1,1,3,2,blind_v2,True
